"REF_DATE","GEO","DGUID","Labour force characteristics","Statistics","Data type","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2023-01","St. John's, Newfoundland and Labrador","2021S05031","Population","Estimate","Seasonally adjusted","Persons in thousands","428","units","0","v1643278014","3.1.1.1","191.5","","","","1"
"2023-02","St. John's, Newfoundland and Labrador","2021S05031","Population","Estimate","Seasonally adjusted","Persons in thousands","428","units","0","v1643278014","3.1.1.1","192.1","","","","1"
"2023-03","St. John's, Newfoundland and Labrador","2021S05031","Population","Estimate","Seasonally adjusted","Persons in thousands","428","units","0","v1643278014","3.1.1.1","192.7","","","","1"
"2023-04","St. John's, Newfoundland and Labrador","2021S05031","Population","Estimate","Seasonally adjusted","Persons in thousands","428","units","0","v1643278014","3.1.1.1","193.3","","","","1"
"2023-05","St. John's, Newfoundland and Labrador","2021S05031","Population","Estimate","Seasonally adjusted","Persons in thousands","428","units","0","v1643278014","3.1.1.1","193.8","","","","1"
"2023-06","St. John's, Newfoundland and Labrador","2021S05031","Population","Estimate","Seasonally adjusted","Persons in thousands","428","units","0","v1643278014","3.1.1.1","194.4","","","","1"
"2023-07","St. John's, Newfoundland and Labrador","2021S05031","Population","Estimate","Seasonally adjusted","Persons in thousands","428","units","0","v1643278014","3.1.1.1","195.0","","","","1"
"2023-08","St. John's, Newfoundland and Labrador","2021S05031","Population","Estimate","Seasonally adjusted","Persons in thousands","428","units","0","v1643278014","3.1.1.1","195.5","","","","1"
"2023-09","St. John's, Newfoundland and Labrador","2021S05031","Population","Estimate","Seasonally adjusted","Persons in thousands","428","units","0","v1643278014","3.1.1.1","196.0","","","","1"
"2023-10","St. John's, Newfoundland and Labrador","2021S05031","Population","Estimate","Seasonally adjusted","Persons in thousands","428","units","0","v1643278014","3.1.1.1","196.6","","","","1"
"2023-11","St. John's, Newfoundland and Labrador","2021S05031","Population","Estimate","Seasonally adjusted","Persons in thousands","428","units","0","v1643278014","3.1.1.1","197.1","","","","1"
"2023-12","St. John's, Newfoundland and Labrador","2021S05031","Population","Estimate","Seasonally adjusted","Persons in thousands","428","units","0","v1643278014","3.1.1.1","197.6","","","","1"
"2024-01","St. John's, Newfoundland and Labrador","2021S05031","Population","Estimate","Seasonally adjusted","Persons in thousands","428","units","0","v1643278014","3.1.1.1","198.2","","","","1"
"2024-02","St. John's, Newfoundland and Labrador","2021S05031","Population","Estimate","Seasonally adjusted","Persons in thousands","428","units","0","v1643278014","3.1.1.1","198.7","","","","1"
"2024-03","St. John's, Newfoundland and Labrador","2021S05031","Population","Estimate","Seasonally adjusted","Persons in thousands","428","units","0","v1643278014","3.1.1.1","199.3","","","","1"
"2024-04","St. John's, Newfoundland and Labrador","2021S05031","Population","Estimate","Seasonally adjusted","Persons in thousands","428","units","0","v1643278014","3.1.1.1","199.8","","","","1"
"2024-05","St. John's, Newfoundland and Labrador","2021S05031","Population","Estimate","Seasonally adjusted","Persons in thousands","428","units","0","v1643278014","3.1.1.1","200.4","","","","1"
"2024-06","St. John's, Newfoundland and Labrador","2021S05031","Population","Estimate","Seasonally adjusted","Persons in thousands","428","units","0","v1643278014","3.1.1.1","201.0","","","","1"
"2024-07","St. John's, Newfoundland and Labrador","2021S05031","Population","Estimate","Seasonally adjusted","Persons in thousands","428","units","0","v1643278014","3.1.1.1","201.6","","","","1"
"2024-08","St. John's, Newfoundland and Labrador","2021S05031","Population","Estimate","Seasonally adjusted","Persons in thousands","428","units","0","v1643278014","3.1.1.1","202.1","","","","1"
"2024-09","St. John's, Newfoundland and Labrador","2021S05031","Population","Estimate","Seasonally adjusted","Persons in thousands","428","units","0","v1643278014","3.1.1.1","202.7","","","","1"
"2024-10","St. John's, Newfoundland and Labrador","2021S05031","Population","Estimate","Seasonally adjusted","Persons in thousands","428","units","0","v1643278014","3.1.1.1","203.1","","","","1"
"2024-11","St. John's, Newfoundland and Labrador","2021S05031","Population","Estimate","Seasonally adjusted","Persons in thousands","428","units","0","v1643278014","3.1.1.1","203.5","","","","1"
"2024-12","St. John's, Newfoundland and Labrador","2021S05031","Population","Estimate","Seasonally adjusted","Persons in thousands","428","units","0","v1643278014","3.1.1.1","203.9","","","","1"
"2023-01","St. John's, Newfoundland and Labrador","2021S05031","Population","Estimate","Unadjusted","Persons in thousands","428","units","0","v1643278015","3.1.1.2","191.5","","","","1"
"2023-02","St. John's, Newfoundland and Labrador","2021S05031","Population","Estimate","Unadjusted","Persons in thousands","428","units","0","v1643278015","3.1.1.2","192.1","","","","1"
