"REF_DATE","GEO","DGUID","Distance-capacity public transit service area","Location","Gender","Demographic and socio-economic","Sustainable Development Goals (SDGs) 11.2.1 indicator","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2023","Canada","2021A000011124","400 metres from all public transit stops","Total, location","Total, gender","Total - Age groups of the population - 100% data","Count of population within service area","Persons","249","units","0","v1631837285","1.1.1.1.1.1","21156225","","","","0"
"2024","Canada","2021A000011124","400 metres from all public transit stops","Total, location","Total, gender","Total - Age groups of the population - 100% data","Count of population within service area","Persons","249","units","0","v1631837285","1.1.1.1.1.1","20822050","","","","0"
"2023","Canada","2021A000011124","400 metres from all public transit stops","Total, location","Total, gender","Total - Age groups of the population - 100% data","Proportion of population within service area","Percent","239","units","0","v1635861179","1.1.1.1.1.2","68.2","","","","1"
"2024","Canada","2021A000011124","400 metres from all public transit stops","Total, location","Total, gender","Total - Age groups of the population - 100% data","Proportion of population within service area","Percent","239","units","0","v1635861179","1.1.1.1.1.2","67.6","","","","1"
"2023","Canada","2021A000011124","400 metres from all public transit stops","Total, location","Total, gender","0 to 14 years","Count of population within service area","Persons","249","units","0","v1631918303","1.1.1.1.2.1","3264835","","","","0"
"2024","Canada","2021A000011124","400 metres from all public transit stops","Total, location","Total, gender","0 to 14 years","Count of population within service area","Persons","249","units","0","v1631918303","1.1.1.1.2.1","3220505","","","","0"
"2023","Canada","2021A000011124","400 metres from all public transit stops","Total, location","Total, gender","0 to 14 years","Proportion of population within service area","Percent","239","units","0","v1635942197","1.1.1.1.2.2","65.3","","","","1"
"2024","Canada","2021A000011124","400 metres from all public transit stops","Total, location","Total, gender","0 to 14 years","Proportion of population within service area","Percent","239","units","0","v1635942197","1.1.1.1.2.2","64.9","","","","1"
"2023","Canada","2021A000011124","400 metres from all public transit stops","Total, location","Total, gender","15 to 64 years","Count of population within service area","Persons","249","units","0","v1631999321","1.1.1.1.3.1","14022920","","","","0"
"2024","Canada","2021A000011124","400 metres from all public transit stops","Total, location","Total, gender","15 to 64 years","Count of population within service area","Persons","249","units","0","v1631999321","1.1.1.1.3.1","13825800","","","","0"
"2023","Canada","2021A000011124","400 metres from all public transit stops","Total, location","Total, gender","15 to 64 years","Proportion of population within service area","Percent","239","units","0","v1636023215","1.1.1.1.3.2","68.8","","","","1"
"2024","Canada","2021A000011124","400 metres from all public transit stops","Total, location","Total, gender","15 to 64 years","Proportion of population within service area","Percent","239","units","0","v1636023215","1.1.1.1.3.2","68.3","","","","1"
"2023","Canada","2021A000011124","400 metres from all public transit stops","Total, location","Total, gender","65 years and over","Count of population within service area","Persons","249","units","0","v1632242375","1.1.1.1.6.1","3868465","","","","0"
"2024","Canada","2021A000011124","400 metres from all public transit stops","Total, location","Total, gender","65 years and over","Count of population within service area","Persons","249","units","0","v1632242375","1.1.1.1.6.1","3775750","","","","0"
"2023","Canada","2021A000011124","400 metres from all public transit stops","Total, location","Total, gender","65 years and over","Proportion of population within service area","Percent","239","units","0","v1636266269","1.1.1.1.6.2","68.4","","","","1"
"2024","Canada","2021A000011124","400 metres from all public transit stops","Total, location","Total, gender","65 years and over","Proportion of population within service area","Percent","239","units","0","v1636266269","1.1.1.1.6.2","67.4","","","","1"
"2023","Canada","2021A000011124","400 metres from all public transit stops","Total, location","Total, gender","Total - Population aged 15 years and over by labour force status - 25% sample data","Count of population within service area","Persons","249","units","0","v1635050999","1.1.1.1.56.1","17477705","","","","0"
"2024","Canada","2021A000011124","400 metres from all public transit stops","Total, location","Total, gender","Total - Population aged 15 years and over by labour force status - 25% sample data","Count of population within service area","Persons","249","units","0","v1635050999","1.1.1.1.56.1","17200830","","","","0"
"2023","Canada","2021A000011124","400 metres from all public transit stops","Total, location","Total, gender","Total - Population aged 15 years and over by labour force status - 25% sample data","Proportion of population within service area","Percent","239","units","0","v1639074893","1.1.1.1.56.2","68.5","","","","1"
"2024","Canada","2021A000011124","400 metres from all public transit stops","Total, location","Total, gender","Total - Population aged 15 years and over by labour force status - 25% sample data","Proportion of population within service area","Percent","239","units","0","v1639074893","1.1.1.1.56.2","67.9","","","","1"
"2023","Canada","2021A000011124","400 metres from all public transit stops","Total, location","Total, gender","In the labour force","Count of population within service area","Persons","249","units","0","v1635132017","1.1.1.1.57.1","11243770","","","","0"
"2024","Canada","2021A000011124","400 metres from all public transit stops","Total, location","Total, gender","In the labour force","Count of population within service area","Persons","249","units","0","v1635132017","1.1.1.1.57.1","11088200","","","","0"
"2023","Canada","2021A000011124","400 metres from all public transit stops","Total, location","Total, gender","In the labour force","Proportion of population within service area","Percent","239","units","0","v1639155911","1.1.1.1.57.2","68.3","","","","1"
"2024","Canada","2021A000011124","400 metres from all public transit stops","Total, location","Total, gender","In the labour force","Proportion of population within service area","Percent","239","units","0","v1639155911","1.1.1.1.57.2","67.8","","","","1"
