CMA_ID,CMA_Name,Year,Population,Log_Population,Transit_Access_Prop,Avg_Commute_Car,Avg_Commute_Transit,Commute_Ratio,Participation_Rate,Unemployment_Rate
2021S0503001,St. John's,2023,194.63333333333333,2.289217220531625,54.8,16.6,32.2,1.9397590361445782,64.875,6.016666666666667
2021S0503001,St. John's,2024,201.1916666666667,2.303609988334023,54.7,16.6,32.2,1.9397590361445782,65.21666666666667,6.891666666666667
2021S0503205,Halifax,2023,426.45,2.6298681187461233,66.5,21.0,35.7,1.7000000000000002,68.45833333333333,5.558333333333334
2021S0503205,Halifax,2024,444.875,2.648238001011902,66.5,21.0,35.7,1.7000000000000002,69.05833333333332,5.4750000000000005
2021S0503305,Moncton,2023,147.14166666666668,2.167735670967301,63.4,16.8,32.2,1.9166666666666667,66.11666666666666,5.583333333333333
2021S0503305,Moncton,2024,155.975,2.193054994302401,62.8,16.8,32.2,1.9166666666666667,65.73333333333333,5.341666666666666
2021S0503310,Saint John,2023,115.7,2.0633333589517497,42.7,19.4,26.4,1.3608247422680413,61.84166666666667,5.6499999999999995
2021S0503310,Saint John,2024,118.54166666666667,2.073871029019484,40.5,19.4,26.4,1.3608247422680413,64.35833333333333,6.108333333333333
2021S0503320,Fredericton,2023,97.50833333333333,1.9890417332988246,49.0,17.3,28.9,1.6705202312138727,64.50833333333334,4.641666666666667
2021S0503320,Fredericton,2024,101.51666666666667,2.0065373491177776,49.0,17.3,28.9,1.6705202312138727,65.19166666666666,5.666666666666667
2021S0503421,Québec,2023,718.9,2.856668483611535,79.8,19.3,32.0,1.6580310880829014,67.02499999999999,2.566666666666667
2021S0503421,Québec,2024,737.5333333333333,2.867781653335743,79.8,19.3,32.0,1.6580310880829014,67.00833333333334,3.7583333333333333
2021S0503433,Sherbrooke,2023,197.8083333333333,2.296244583744718,72.5,17.5,28.7,1.64,60.24166666666667,4.066666666666666
2021S0503433,Sherbrooke,2024,203.10000000000002,2.307709923404807,64.5,17.5,28.7,1.64,62.53333333333333,4.933333333333334
2021S0503442,Trois-Rivières,2023,140.75833333333333,2.148474115875418,75.3,17.8,31.2,1.7528089887640448,59.324999999999996,4.05
2021S0503442,Trois-Rivières,2024,144.29166666666666,2.1592412498378546,73.6,17.8,31.2,1.7528089887640448,62.03333333333333,5.941666666666666
2021S0503447,Drummondville,2023,90.72500000000001,1.9577269768725942,34.6,16.8,26.2,1.5595238095238093,62.68333333333334,3.0416666666666665
2021S0503447,Drummondville,2024,71.43333333333332,1.8539009163221662,55.6,16.8,26.2,1.5595238095238093,59.958333333333336,4.208333333333333
2021S0503462,Montréal,2023,3650.691666666667,3.5623751544726168,87.1,24.4,43.1,1.766393442622951,68.68333333333334,5.016666666666667
2021S0503462,Montréal,2024,3762.241666666667,3.575446688909431,85.9,24.4,43.1,1.766393442622951,66.74166666666666,6.266666666666667
2021S0503521,Kingston,2023,153.60833333333332,2.1864147770399667,68.3,20.3,28.5,1.4039408866995073,63.925000000000004,4.791666666666667
2021S0503521,Kingston,2024,158.78333333333333,2.200804914833948,68.4,20.3,28.5,1.4039408866995073,62.23333333333333,6.158333333333334
2021S0503522,Belleville - Quinte West,2023,110.7,2.044147620878723,55.7,19.2,24.7,1.2864583333333333,62.025000000000006,6.441666666666666
2021S0503522,Belleville - Quinte West,2024,98.45,1.993215720474137,36.2,19.2,24.7,1.2864583333333333,48.85,4.433333333333334
2021S0503529,Peterborough,2023,118.22500000000001,2.072709322687464,61.5,19.5,27.4,1.405128205128205,59.449999999999996,4.491666666666666
2021S0503529,Peterborough,2024,122.88333333333333,2.0894929835194547,61.3,19.5,27.4,1.405128205128205,57.175000000000004,4.625
2021S0503532,Oshawa,2023,374.7416666666666,2.5737319839861676,62.2,21.2,41.1,1.938679245283019,66.53333333333333,5.516666666666667
2021S0503532,Oshawa,2024,388.5083333333334,2.5894003386629767,65.4,21.2,41.1,1.938679245283019,66.88333333333334,6.6499999999999995
2021S0503535,Toronto,2023,5680.008333333334,3.754348972879686,83.6,27.9,48.4,1.7347670250896057,67.72500000000001,6.258333333333333
2021S0503535,Toronto,2024,5940.925,3.7738540697488903,84.5,27.9,48.4,1.7347670250896057,66.86666666666666,7.7749999999999995
2021S0503537,Hamilton,2023,697.9833333333332,2.843845052526051,71.9,22.1,37.9,1.7149321266968325,64.33333333333333,5.3
2021S0503537,Hamilton,2024,713.225,2.8532265576830125,72.2,22.1,37.9,1.7149321266968325,65.09166666666667,6.708333333333333
2021S0503539,St. Catharines - Niagara,2023,400.14166666666665,2.6022137767257463,62.0,17.3,31.5,1.8208092485549132,61.78333333333333,5.6499999999999995
2021S0503539,St. Catharines - Niagara,2024,414.90000000000003,2.617943434828973,61.9,17.3,31.5,1.8208092485549132,60.65833333333333,7.5
2021S0503541,Kitchener - Cambridge - Waterloo,2023,542.9583333333334,2.734766503073702,77.8,20.0,37.7,1.8850000000000002,69.76666666666667,6.0
2021S0503541,Kitchener - Cambridge - Waterloo,2024,578.6416666666668,2.762409702993066,76.0,20.0,37.7,1.8850000000000002,70.25833333333334,6.941666666666666
2021S0503543,Brantford,2023,131.45000000000002,2.1187605904423816,65.9,20.1,35.3,1.7562189054726365,67.15833333333333,4.658333333333333
